id,weight,kind,value,tier,layer,flavor_ja
great_clear_run,10,days_delta,-2,great,terrain,乾いた踏み固め道が続き、荷車は想像以上に進んだ。（-2日）
great_ferry_priority,8,days_delta,-2,great,water,渡し守が便宜を図ってくれた。最優先で渡れた。（-2日）
great_tailwind_boost,8,days_delta,-2,great,weather,追い風に恵まれ、息継ぎもいらないほど進んだ。（-2日）
great_patrol_escort,6,days_delta,-2,great,bandit,巡回兵に道中を護られ、寄り道なく通過できた。（-2日）
great_friendly_caravan,7,days_delta,-2,great,misc,大きな隊商に合流できた。手際良く進めた。（-2日）
good_stable_road,10,days_delta,-1,good,terrain,路面が安定していて脚が軽い。（-1日）
good_shortcut_found,8,days_delta,-1,good,terrain,地元の子どもに近道を教わった。（-1日）
good_well_rest,7,kind,0,good,terrain,小さな庵で休ませてもらい、疲れが取れた。
good_fisher_help,10,days_delta,-1,good,water,川舟の助けで早く進めた。（-1日）
good_shallow_ford,8,days_delta,-1,good,water,浅瀬を見つけ、難なく渡れた。（-1日）
good_bridge_guide,6,kind,0,good,water,渡河に慣れた案内人がいて、手間取らずに済んだ。
good_breeze_clear,8,days_delta,-1,good,weather,涼しい風が吹き、足取りが軽い。（-1日）
good_cloud_break,7,days_delta,-1,good,weather,雲が切れて視界が良くなり、迷わず進めた。（-1日）
good_dry_spell,6,kind,0,good,weather,乾いた空気で道具が痛まない。助かった。
good_patrol_seen,8,kind,0,good,bandit,巡回の足跡を見つけた。賊も近寄らないだろう。
good_safe_inn,7,kind,0,good,bandit,宿場で用心棒が多く、安心して眠れた。
good_bandit_rumor,6,kind,0,good,bandit,「この先は賊が出る」と情報をもらい、警戒を強めた。
good_small_trade,7,kind,0,good,misc,道端で小商いがあり、良い気分転換になった。
good_kind_stranger,6,kind,0,good,misc,親切な旅人が水を分けてくれた。
good_find_tool,5,kind,0,good,misc,道具の落とし物を拾った。今日はついている。
misc_wrong_turn,8,days_delta,1,misc,misc,道を間違え、少し遠回りした。（+1日）
misc_broken_lantern,8,kind,0,misc,misc,ランタンの芯が湿気っていた。夜が少し不便だ。
misc_stray_dog,7,kind,0,misc,misc,野良犬に付きまとわれた。害はないが落ち着かない。
misc_roadside_story,6,kind,0,misc,misc,旅人から奇妙な昔話を聞いた。忘れられない。
misc_small_bribe,6,cargo_loss_pct,0.02,misc,misc,検問の役人に小さく手土産を渡した。（ごく一部を失った）
misc_cart_squeak,6,kind,0,misc,misc,車輪がきしむ。明日まで持つだろうか。
misc_bad_meal,5,kind,0,misc,misc,宿の飯がひどい。腹を壊さないといいが。
misc_minor_spill,5,cargo_loss_pct,0.03,misc,misc,積み替え中に荷が少しこぼれた。（ごく一部を失った）
misc_night_noise,5,kind,0,misc,misc,夜更けに物音で目が覚めた。気のせいかもしれない。
misc_delay_chat,4,days_delta,1,misc,misc,道連れの話が長引き、出発が遅れた。（+1日）
bad_mud_road,10,days_delta,1,bad,terrain,ぬかるみに車輪を取られ、進みが鈍った。（+1日）
bad_wagon_wheel,8,days_delta,1,bad,terrain,車輪の締め具が緩み、手直しに時間を取られた。（+1日）
bad_steep_pass,7,days_delta,1,bad,terrain,坂道がきつく、何度も休んだ。（+1日）
bad_small_fall,6,cargo_loss_pct,0.05,bad,terrain,積み荷が崩れ、いくつか傷んだ。（積み荷一部を失った）
bad_flood_minor,10,days_delta,1,bad,water,渡河点が増水。足止めを食った。（+1日）
bad_bridge_repair,8,days_delta,1,bad,water,橋が傷んでおり、慎重に渡る羽目になった。（+1日）
bad_slippery_bank,7,days_delta,1,bad,water,川岸が滑り、荷車の取り回しに手間取った。（+1日）
bad_wet_cargo,6,cargo_loss_pct,0.05,bad,water,水しぶきで荷が濡れ、商品が少し駄目になった。（積み荷一部を失った）
bad_drizzle_slow,9,days_delta,1,bad,weather,小雨が続き、道が重い。（+1日）
bad_heavy_rain,8,days_delta,1,bad,weather,強い雨で休み休み進んだ。（+1日）
bad_thick_fog,7,days_delta,1,bad,weather,濃霧で視界が悪く、慎重に進んだ。（+1日）
bad_wind_damage,6,cargo_loss_pct,0.05,bad,weather,突風で幌が破れ、荷が少し傷んだ。（積み荷一部を失った）
bad_pickpocket,8,cargo_loss_pct,0.03,bad,bandit,人混みで手癖の悪い連中にやられた。（積み荷ごく一部を失った）
bad_bandit_toll,7,cargo_loss_pct,0.05,bad,bandit,賊に“通行料”を要求された。（積み荷一部を失った）
bad_night_threat,6,days_delta,1,bad,bandit,夜道で怪しい影。遠回りしてやり過ごした。（+1日）
bad_arrow_warning,5,kind,0,bad,bandit,木に刺さった矢を見つけた。嫌な予感がする。
bad_sore_horse,8,days_delta,1,bad,misc,馬が蹄を痛め、休ませる必要があった。（+1日）
bad_broken_rope,7,days_delta,1,bad,misc,ロープが切れて荷締めをやり直した。（+1日）
bad_small_quarrel,6,kind,0,bad,misc,同行者と口論になり、雰囲気が悪い。
bad_missed_market,5,days_delta,1,bad,misc,宿場で手間取り、出立が遅れた。（+1日）
worst_rockslide_block,9,days_delta,2,worst,terrain,落石で道が塞がれた。迂回せざるを得ない。（+2日）
worst_cart_break,8,cargo_loss_pct,0.12,worst,terrain,荷車が大きく損傷し、積み荷も痛んだ。（積み荷一部を失った）
worst_swept_away,8,cargo_loss_pct,0.18,worst,water,急流にあおられ、積み荷を守りきれなかった。（積み荷一部を失った）
worst_bridge_collapse,7,days_delta,2,worst,water,橋が落ちた。安全な渡河点を探すしかない。（+2日）
worst_storm_damage,9,cargo_loss_pct,0.10,worst,weather,嵐に巻き込まれ、幌も荷もひどくやられた。（積み荷一部を失った）
worst_lightning_detour,7,days_delta,2,worst,weather,雷雨を避けて足止めした。（+2日）
worst_bandit_ambush,9,cargo_loss_pct,0.15,worst,bandit,山中で賊に襲われた。（積み荷一部を失った）
worst_bandit_raid,7,cargo_loss_pct,0.20,worst,bandit,夜襲を受け、混乱の中で荷を奪われた。（積み荷一部を失った）
worst_fever,7,days_delta,2,worst,misc,突然の高熱で動けない。休養が必要だ。（+2日）
worst_major_spill,6,cargo_loss_pct,0.10,worst,misc,積み荷の固定が外れ、大きく損耗した。（積み荷一部を失った）
